hs_code,description,code
010121,"Live animals -  Live horses, asses, mules and hinnies. -  Pure- bred breeding animals -  Pure- bred breeding animals",0101210000
010129,"Live animals -  Live horses, asses, mules and hinnies. -  Other: -  Race horses, not for breeding",0101291000
010129,"Live animals -  Live horses, asses, mules and hinnies. -  Other: -  Other:",0101299000
010129,"Live animals -  Live horses, asses, mules and hinnies. -  Other: -  Horses not for breeding nesoi",0101299010
010129,"Live animals -  Live horses, asses, mules and hinnies. -  Other: -  Other Horses for breeding nesoi",0101299020
010130,"Live animals -  Live horses, asses, mules and hinnies. -  Asses: -  Pure- bred breeding animals",0101301000
010130,"Live animals -  Live horses, asses, mules and hinnies. -  Asses: -  Other:",0101309000
010130,"Live animals -  Live horses, asses, mules and hinnies. -  Asses: -  Other asses for breeding",0101309010
010130,"Live animals -  Live horses, asses, mules and hinnies. -  Asses: -  Other, nesoi",0101309090
010190,"Live animals -  Live horses, asses, mules and hinnies. -  Other: -  Mules and hinnies not for breeding nesoi",0101900010
010190,"Live animals -  Live horses, asses, mules and hinnies. -  Other: -  Mules and hinnies  for breeding nesoi",0101900090
010221,Live animals -  Live bovine animals. -  Pure- bred breeding animals: -  Bulls,0102211000
010221,Live animals -  Live bovine animals. -  Pure- bred breeding animals: -  Cows,0102212000
010229,"Live animals -  Live bovine animals. -  Other: -  Bulls, for breeding",0102291000
010229,"Live animals -  Live bovine animals. -  Other: -  Bulls, for rearing, weighing not more than   kg",0102292000
010229,Live animals -  Live bovine animals. -  Other: -  Other bulls,0102293000
010229,"Live animals -  Live bovine animals. -  Other: -  Cows, for breeding",0102294000
010229,"Live animals -  Live bovine animals. -  Other: -  Cows, for rearing, weighing not more than   kg",0102295000
010229,Live animals -  Live bovine animals. -  Other: -  Other cows,0102296000
010231,Live animals -  Live bovine animals. -  Pure -bred  breeding animals -  Pure -bred  breeding animals,0102310000
010239,Live animals -  Live bovine animals. -  Other -  Other,0102390000
010290,Live animals -  Live bovine animals. -  Other -  Other,0102900000
010310,Live animals -  Live swine. -  Pure-bred breeding animals -  Pure-bred breeding animals,0103100000
010391,Live animals -  Live swine. -  Weighing less than  kg: -  For breeding,0103911000
010391,Live animals -  Live swine. -  Weighing less than  kg: -  Other,0103919000
010392,Live animals -  Live swine. -  Weighing  kg or more: -  For breeding,0103921000
010392,Live animals -  Live swine. -  Weighing  kg or more: -  Other,0103929000
010410,Live animals -  Live sheep and goats. -  Sheep: -  For breeding,0104101000
010410,Live animals -  Live sheep and goats. -  Sheep: -  For rearing,0104102000
010410,Live animals -  Live sheep and goats. -  Sheep: -  Other,0104109000
010420,Live animals -  Live sheep and goats. -  Goats: -  For breeding,0104201000
010420,Live animals -  Live sheep and goats. -  Goats: -  For rearing,0104202000
010420,Live animals -  Live sheep and goats. -  Goats: -  Other,0104209000
010511,"Live animals -  Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls. -  Fowls of the species Gallus domesticus: -  For breeding",0105111000
010511,"Live animals -  Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls. -  Fowls of the species Gallus domesticus: -  For rearing",0105112000
010511,"Live animals -  Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls. -  Fowls of the species Gallus domesticus: -  Other",0105119000
010512,"Live animals -  Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls. -  Turkeys: -  For breeding",0105121000
010512,"Live animals -  Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls. -  Turkeys: -  For rearing",0105122000
010512,"Live animals -  Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls. -  Turkeys: -  Other",0105129000
010513,"Live animals -  Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls. -  Ducks: -  For breeding",0105131000
010513,"Live animals -  Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls. -  Ducks: -  For rearing",0105132000
010513,"Live animals -  Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls. -  Ducks: -  Other",0105139000
010514,"Live animals -  Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls. -  Geese: -  For breeding",0105141000
010514,"Live animals -  Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls. -  Geese: -  For rearing",0105142000
010514,"Live animals -  Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls. -  Geese: -  Other",0105149000
