chapter,sub_chapter,sub_heading,code,url_id
01 Chapter 1 - Live animals,"0101 Live horses, asses, mules and hinnies.",010121 Pure- bred breeding animals,0101210000 Pure- bred breeding animals,7664
01 Chapter 1 - Live animals,"0101 Live horses, asses, mules and hinnies.",010129 Other:,"0101291000 Race horses, not for breeding",7665
01 Chapter 1 - Live animals,"0101 Live horses, asses, mules and hinnies.",010129 Other:,0101299000 Other:,7666
01 Chapter 1 - Live animals,"0101 Live horses, asses, mules and hinnies.",010129 Other:,0101299010 Horses not for breeding nesoi,7667
01 Chapter 1 - Live animals,"0101 Live horses, asses, mules and hinnies.",010129 Other:,0101299020 Other Horses for breeding nesoi,7668
01 Chapter 1 - Live animals,"0101 Live horses, asses, mules and hinnies.",010130 Asses:,0101301000 Pure- bred breeding animals,7669
01 Chapter 1 - Live animals,"0101 Live horses, asses, mules and hinnies.",010130 Asses:,0101309000 Other:,7670
01 Chapter 1 - Live animals,"0101 Live horses, asses, mules and hinnies.",010130 Asses:,0101309010 Other asses for breeding,7671
01 Chapter 1 - Live animals,"0101 Live horses, asses, mules and hinnies.",010130 Asses:,"0101309090 Other, nesoi",7672
01 Chapter 1 - Live animals,"0101 Live horses, asses, mules and hinnies.",010190 Other:,0101900010 Mules and hinnies not for breeding nesoi,7673
01 Chapter 1 - Live animals,"0101 Live horses, asses, mules and hinnies.",010190 Other:,0101900090 Mules and hinnies  for breeding nesoi,7674
01 Chapter 1 - Live animals,0102 Live bovine animals.,010221 Pure- bred breeding animals:,0102211000 Bulls,7675
01 Chapter 1 - Live animals,0102 Live bovine animals.,010221 Pure- bred breeding animals:,0102212000 Cows,7676
01 Chapter 1 - Live animals,0102 Live bovine animals.,010229 Other:,"0102291000 Bulls, for breeding",7677
01 Chapter 1 - Live animals,0102 Live bovine animals.,010229 Other:,"0102292000 Bulls, for rearing, weighing not more than  270 kg",7678
01 Chapter 1 - Live animals,0102 Live bovine animals.,010229 Other:,0102293000 Other bulls,7679
01 Chapter 1 - Live animals,0102 Live bovine animals.,010229 Other:,"0102294000 Cows, for breeding",7680
01 Chapter 1 - Live animals,0102 Live bovine animals.,010229 Other:,"0102295000 Cows, for rearing, weighing not more than  270 kg",7681
01 Chapter 1 - Live animals,0102 Live bovine animals.,010229 Other:,0102296000 Other cows,7682
01 Chapter 1 - Live animals,0102 Live bovine animals.,010231 Pure -bred  breeding animals,0102310000 Pure -bred  breeding animals,7683
01 Chapter 1 - Live animals,0102 Live bovine animals.,010239 Other,0102390000 Other,7684
01 Chapter 1 - Live animals,0102 Live bovine animals.,010290 Other,0102900000 Other,7685
01 Chapter 1 - Live animals,0103 Live swine.,010310 Pure-bred breeding animals,0103100000 Pure-bred breeding animals,7686
01 Chapter 1 - Live animals,0103 Live swine.,010391 Weighing less than 50 kg:,0103911000 For breeding,7687
01 Chapter 1 - Live animals,0103 Live swine.,010391 Weighing less than 50 kg:,0103919000 Other,7688
01 Chapter 1 - Live animals,0103 Live swine.,010392 Weighing 50 kg or more:,0103921000 For breeding,7689
01 Chapter 1 - Live animals,0103 Live swine.,010392 Weighing 50 kg or more:,0103929000 Other,7690
01 Chapter 1 - Live animals,0104 Live sheep and goats.,010410 Sheep:,0104101000 For breeding,7691
01 Chapter 1 - Live animals,0104 Live sheep and goats.,010410 Sheep:,0104102000 For rearing,7692
01 Chapter 1 - Live animals,0104 Live sheep and goats.,010410 Sheep:,0104109000 Other,7693
01 Chapter 1 - Live animals,0104 Live sheep and goats.,010420 Goats:,0104201000 For breeding,7694
01 Chapter 1 - Live animals,0104 Live sheep and goats.,010420 Goats:,0104202000 For rearing,7695
01 Chapter 1 - Live animals,0104 Live sheep and goats.,010420 Goats:,0104209000 Other,7696
01 Chapter 1 - Live animals,"0105 Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls.",010511 Fowls of the species Gallus domesticus:,0105111000 For breeding,7697
01 Chapter 1 - Live animals,"0105 Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls.",010511 Fowls of the species Gallus domesticus:,0105112000 For rearing,7698
01 Chapter 1 - Live animals,"0105 Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls.",010511 Fowls of the species Gallus domesticus:,0105119000 Other,7699
01 Chapter 1 - Live animals,"0105 Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls.",010512 Turkeys:,0105121000 For breeding,7700
01 Chapter 1 - Live animals,"0105 Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls.",010512 Turkeys:,0105122000 For rearing,7701
01 Chapter 1 - Live animals,"0105 Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls.",010512 Turkeys:,0105129000 Other,7702
01 Chapter 1 - Live animals,"0105 Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls.",010513 Ducks:,0105131000 For breeding,7703
01 Chapter 1 - Live animals,"0105 Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls.",010513 Ducks:,0105132000 For rearing,7704
01 Chapter 1 - Live animals,"0105 Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls.",010513 Ducks:,0105139000 Other,7705
